song_name,album,release_date,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
New Year's Day,reputation,11/10/17,0.921,0.661,0.151,0,0.13,-12.864,0.0354,94.922,0.23,77
Welcome To New York,1989,10/27/14,0.038,0.793,0.634,1.76E-06,0.304,-4.807,0.0324,117.024,0.615,62
Blank Space,1989,10/27/14,0.085,0.753,0.678,1.64E-06,0.13,-5.421,0.0644,96.006,0.583,77
Style,1989,10/27/14,0.00253,0.598,0.786,0.0016,0.117,-5.572,0.0383,95.019,0.456,76
Out Of The Woods,1989,10/27/14,0.00103,0.552,0.842,1.17E-05,0.337,-6.938,0.0373,91.991,0.343,62
All You Had To Do Was Stay,1989,10/27/14,0.00196,0.602,0.736,4.57E-05,0.105,-5.778,0.0338,96.969,0.471,58
Shake It Off,1989,10/27/14,0.0561,0.647,0.785,0,0.148,-5.414,0.165,160.015,0.943,76
I Wish You Would,1989,10/27/14,0.016,0.648,0.898,9.91E-05,0.109,-5.963,0.0513,118.02,0.502,50
Bad Blood,1989,10/27/14,0.0871,0.65,0.802,6.54E-06,0.148,-6.114,0.181,170.146,0.295,69
Wildest Dreams,1989,10/27/14,0.0702,0.554,0.666,0.00593,0.106,-7.414,0.0747,140.056,0.472,72
How You Get The Girl,1989,10/27/14,0.00461,0.764,0.66,0.00477,0.0915,-6.136,0.0494,119.988,0.524,50
This Love,1989,10/27/14,0.635,0.475,0.459,0,0.101,-8.768,0.0333,143.988,0.0828,48
I Know Places,1989,10/27/14,0.231,0.596,0.763,0,0.2,-4.99,0.0661,159.958,0.507,48
Clean,1989,10/27/14,0.241,0.81,0.379,0,0.113,-7.771,0.0349,103.981,0.22,49
State Of Grace,Red,10/22/12,0.000197,0.588,0.825,0.00138,0.0885,-5.882,0.0328,129.968,0.397,42
Red,Red,10/22/12,0.0773,0.602,0.896,8.87E-05,0.091,-4.267,0.0437,124.978,0.641,59
Treacherous,Red,10/22/12,0.101,0.705,0.621,4.30E-06,0.147,-8.086,0.0334,109.993,0.395,41
I Knew You Were Trouble.,Red,10/22/12,0.00454,0.622,0.469,2.25E-06,0.0398,-6.798,0.0363,77.019,0.679,63
All Too Well,Red,10/22/12,0.0382,0.602,0.609,0.0002,0.127,-7.803,0.0243,93.06,0.337,47
22,Red,10/22/12,0.00215,0.658,0.729,0.0013,0.0752,-6.561,0.0378,104.007,0.668,53
I Almost Do,Red,10/22/12,0.0173,0.567,0.481,4.13E-05,0.182,-7.357,0.027,145.865,0.233,43
We Are Never Ever Getting Back Together,Red,10/22/12,0.00957,0.628,0.676,2.65E-05,0.102,-5.911,0.0916,85.984,0.75,61
Stay Stay Stay,Red,10/22/12,0.307,0.729,0.748,1.29E-06,0.09,-6.67,0.0245,99.981,0.928,42
The Last Time,Red,10/22/12,0.035,0.505,0.443,3.15E-06,0.0921,-7.039,0.0276,94.069,0.123,40
Holy Ground,Red,10/22/12,0.0162,0.627,0.816,0.00208,0.0966,-6.698,0.0774,157.043,0.648,40
Sad Beautiful Tragic,Red,10/22/12,0.632,0.624,0.34,0.0337,0.121,-12.411,0.029,129.987,0.261,38
The Lucky One,Red,10/22/12,0.0371,0.706,0.499,0,0.132,-7.675,0.0369,117.937,0.545,39
Everything Has Changed,Red,10/22/12,0.36,0.624,0.458,3.89E-06,0.303,-6.755,0.0287,80.017,0.436,53
Starlight,Red,10/22/12,0.0213,0.649,0.777,0.000335,0.221,-5.804,0.0406,126.018,0.587,39
Begin Again,Red,10/22/12,0.199,0.53,0.526,3.52E-06,0.232,-8.349,0.0263,79.025,0.323,57
Mine,Speak Now,10/25/10,0.00265,0.624,0.757,1.87E-06,0.189,-2.94,0.0296,121.07,0.658,61
Sparks Fly,Speak Now,10/25/10,0.0396,0.605,0.787,1.42E-06,0.163,-3.002,0.0308,114.987,0.374,60
Back To December,Speak Now,10/25/10,0.117,0.529,0.67,0,0.334,-4.663,0.0303,141.893,0.286,63
Speak Now,Speak Now,10/25/10,0.095,0.709,0.599,0,0.0973,-3.734,0.0304,118.975,0.735,55
Dear John,Speak Now,10/25/10,0.166,0.589,0.47,1.45E-06,0.112,-5.32,0.028,119.386,0.102,52
Mean,Speak Now,10/25/10,0.452,0.568,0.761,0,0.217,-3.987,0.0459,163.974,0.789,62
The Story Of Us,Speak Now,10/25/10,0.00478,0.543,0.818,0.000368,0.0357,-3.611,0.0398,139.898,0.683,56
Never Grow Up,Speak Now,10/25/10,0.819,0.714,0.305,0,0.174,-8.837,0.0305,124.91,0.554,52
Enchanted,Speak Now,10/25/10,0.0739,0.455,0.623,0.000424,0.146,-3.878,0.0288,163.893,0.208,70
Better Than Revenge,Speak Now,10/25/10,0.0139,0.516,0.917,6.37E-06,0.36,-3.186,0.0827,145.821,0.635,57
Innocent,Speak Now,10/25/10,0.186,0.552,0.608,0,0.125,-5.29,0.0259,134.05,0.17,46
Haunted,Speak Now,10/25/10,0.0826,0.436,0.95,1.08E-06,0.149,-2.627,0.057,162.088,0.352,52
Last Kiss,Speak Now,10/25/10,0.57,0.371,0.341,3.09E-05,0.101,-9.475,0.0319,89.038,0.196,54
Long Live,Speak Now,10/25/10,0.036,0.418,0.68,7.59E-05,0.108,-4.3,0.0346,204.125,0.142,52
Fearless,Fearless,11/11/08,0.04,0.594,0.712,0,0.309,-4.418,0.0273,99.972,0.476,60
Fifteen,Fearless,11/11/08,0.067,0.556,0.651,0,0.145,-4.396,0.0266,95.485,0.203,58
Love Story,Fearless,11/11/08,0.17,0.618,0.741,0,0.0822,-3.95,0.031,118.984,0.296,70
Hey Stephen,Fearless,11/11/08,0.194,0.841,0.544,2.48E-06,0.108,-7.347,0.0309,115.994,0.831,49
White Horse,Fearless,11/11/08,0.305,0.578,0.34,0,0.104,-8.027,0.0264,92.702,0.223,54
You Belong With Me,Fearless,11/11/08,0.162,0.687,0.783,1.35E-05,0.114,-4.44,0.0386,129.964,0.443,70
Breathe,Fearless,11/11/08,0.379,0.505,0.482,0,0.113,-7.372,0.0276,73.975,0.184,46
Tell Me Why,Fearless,11/11/08,0.0571,0.604,0.855,3.65E-06,0.343,-3.097,0.038,99.96,0.51,45
You're Not Sorry,Fearless,11/11/08,0.146,0.475,0.452,1.36E-06,0.108,-4.134,0.027,133.959,0.276,47
The Way I Loved You,Fearless,11/11/08,0.0408,0.433,0.7,0,0.115,-3.709,0.0336,160.927,0.398,53
Forever & Always,Fearless,11/11/08,0.0752,0.608,0.821,0,0.11,-4.985,0.0576,128.042,0.544,49
The Best Day,Fearless,11/11/08,0.647,0.666,0.434,1.95E-06,0.124,-8.543,0.0289,126.084,0.396,48
Change,Fearless,11/11/08,0.00408,0.541,0.77,0,0.117,-4.17,0.0354,96.013,0.215,43
Tim McGraw,Taylor Swift,10/24/06,0.575,0.58,0.491,0,0.121,-6.462,0.0251,76.009,0.425,68
Picture To Burn,Taylor Swift,10/24/06,0.173,0.658,0.877,0,0.0962,-2.098,0.0323,105.586,0.821,71
Teardrops On My Guitar - Radio Single Remix,Taylor Swift,10/24/06,0.288,0.621,0.417,0,0.119,-6.941,0.0231,99.953,0.289,69
A Place in this World,Taylor Swift,10/24/06,0.051,0.576,0.777,0,0.32,-2.881,0.0324,115.028,0.428,60
Cold As You,Taylor Swift,10/24/06,0.217,0.418,0.482,0,0.123,-5.769,0.0266,175.558,0.261,60
The Outside,Taylor Swift,10/24/06,0.00491,0.589,0.805,0,0.24,-4.055,0.0293,112.982,0.591,59
Tied Together with a Smile,Taylor Swift,10/24/06,0.525,0.479,0.578,0,0.0841,-4.963,0.0294,146.165,0.192,59
Stay Beautiful,Taylor Swift,10/24/06,0.0868,0.594,0.629,0,0.137,-4.919,0.0246,131.597,0.504,59
Should've Said No,Taylor Swift,10/24/06,0.0103,0.476,0.777,0,0.196,-3.771,0.0289,167.964,0.472,68
Mary's Song (Oh My My My),Taylor Swift,10/24/06,0.0177,0.403,0.627,0,0.182,-5.28,0.0292,74.9,0.374,61
Our Song,Taylor Swift,10/24/06,0.111,0.668,0.672,0,0.329,-4.931,0.0303,89.011,0.539,76
I'm Only Me When I'm With You,Taylor Swift,10/24/06,0.00452,0.563,0.934,0.000807,0.103,-3.629,0.0646,143.964,0.518,62
Invisible,Taylor Swift,10/24/06,0.637,0.612,0.394,0,0.147,-5.723,0.0243,96.001,0.233,58
A Perfectly Good Heart,Taylor Swift,10/24/06,0.00349,0.483,0.751,0,0.128,-5.726,0.0365,156.092,0.268,57
Teardrops on My Guitar - Pop Version,Taylor Swift,10/24/06,0.0402,0.459,0.753,0,0.0863,-3.827,0.0537,199.997,0.483,57
